gileiten,"['gileitos', 'gineitinu', 'gilegitaz', 'gileittu']"
want,['want']
arstantan,"['armewuntane', 'azstantu', 'arstantu', 'arstantanti']"
baug,['bauga']
keisur,"['keisuringu', 'keisure']"
gitar,"['gitanso', 'gitan']"
der,"['der', 'dem', 'derlh']"
kuningin,"['kuning', 'kuningalig', 'kiuuinnit', 'kuninkdz', 'kuninges', 'kuninge']"
garwen,['gapfuneo']
dirre,['dir']
it,"['it', 'ithmu']"
huldî,['huldi']
giburt,"['gibu', 'giburt', 'giburti', 'giburita']"
genuht,"['geru', 'geno', 'gena']"
faho,['faha']
ortwasse,['orte']
hôh,['h']
sprechan,"['spaherspenis', 'sprach']"
diuhen,"['dinem', 'diu', 'diz', 'diurente']"
wartâri,['wortunwili']
ding,"['dinu', 'ding', 'dinge', 'dina', 'dino']"
sperren,['speru']
werban,['werpan']
alsulh,"['also', 'allu', 'alliu']"
gialt,['gialtet']
ewit,['ew']
wiht,['wit']
forhtlîch,"['fortos', 'forlaz']"
westar,['westar']
furneman,['furnam']
wela,['wela']
gisiuni,"['gisihu', 'gisiuni']"
rucki,['rustim']
heme,['heme']
gotman,"['goten', 'goteenti', 'gommanne']"
desde,"['desemo', 'desero', 'dese']"
richesôn,['richerekkeo']
wurzala,"['wurtiwelaga', 'wuazs']"
sumar,"['sumaro', 'suma']"
wint,['wintro']
ur,['ur']
dar,['dar']
skerian,"['skerita', 'skritan', 'skurimdat']"
seitsagte,['skeotantero']
burc,"['burk', 'buche']"
gifesten,['gifasta']
suas,['suasat']
kindjung,"['kindsuertu', 'kinddiu']"
hauwan,['hauwan']
bretôn,['breton']
singan,"['sinu', 'sinthgunt']"
bihwiu,"['billiu', 'bihuuiu']"
bald,['ba']
ellen,"['ellen', 'elbon']"
taoc,['taok']
giwinnan,"['giwinna', 'giwigan']"
raub,['rauba']
birahanen,['birahanen']
enein,['enik']
halsberg,['habesder']
agusto,"['argosto', 'age']"
wider,['wiges']
warnen,"['warne', 'wabnum']"
welîh,['wel']
lustigôn,"['lustitgudea', 'luduig', 'luduigan', 'luduignel']"
giminnerôn,"['gimeinunniuse', 'giminnerodes']"
molta,"['motti', 'moltu']"
hwergin,['hwerdar']
hiutu,"['hiutudero', 'hiutu']"
ruohhen,['rumen']
erdo,"['erdo', 'erdota']"
rehtnissa,['runnonobeder']
ubargangan,"['uualtan', 'uuordanan', 'uuazzarfaz', 'uuartari', 'ubargeng']"
samant,"['samane', 'sauuit']"
stimma,['staimbort']
klebên,"['klud', 'klubod']"
helith,"['heuw', 'hefit', 'heliases']"
im,['im']
liudskepi,"['lintunluttila', 'liutinheigu']"
wurch,"['wurt', 'wuer']"
iedoch,"['isidor', 'iudeo']"
semftl,['sefilla']
fimeman,['fide']
hear,['hear']
kindilîn,"['kwhidit', 'kwhidim']"
wuo,['wueo']
giquedan,"['giuuordan', 'gieredan', 'gikwhedan']"
kreftîc,"['krist', 'kreftikdiu']"
dach,"['dazs', 'dz']"
girûni,['giruni']
himilisk,"['himilisk', 'himiliskhes']"
gibirgi,"['giburdi', 'gibar', 'gibiudittho', 'gibirit']"
kriegen,"['kriste', 'kristn']"
endi,['endi']
dhrînissa,['drinissa']
frammert,['frammert']
gichundan,"['gichundemes', 'gichundidi', 'gichundit', 'gichundidom', 'giund']"
heilego,"['heileg', 'heilida', 'heilegeno', 'heilego', 'heilegono', 'heilegim', 'heiligon']"
giscrib,"['giskribes', 'giskriban', 'giskrip', 'giskribe', 'giskrib']"
ir,['ir']
giberan,"['giboran', 'gigeban', 'giboranan', 'giboraniu']"
araugen,"['araugemes', 'araugida', 'araugit', 'araugta']"
alsam,"['azs', 'azz']"
erliuhten,['erist']
fleisk,"['fleiskhes', 'fleiskhe']"
irslahan,['isaias']
umbi,"['umbi', 'uuamba']"
predigôn,['predigondo']
kochar,"['kwhad', 'kwham', 'kodalenk', 'kotmanno']"
ginâdig,['gind']
umbirîtan,['uuirdit']
snel,['sn']
oba,['oba']
sinwelbi,"['sinem', 'sines']"
skild,"['skuldrom', 'skalkes', 'skoldii', 'skuli', 'skalk']"
ginemnen,['ginemnit']
girâdo,['girado']
strengi,"['strengi', 'stuen']"
ziohan,['zuohald']
unbera,['uueraldi']
fridu,['frido']
hêrosto,['herosto']
giwonaheit,['gimanakfaldit']
sigevane,['sinera']
sipbea,['sipbea']
forasago,"['forasago', 'forasagono', 'forasag', 'forstuont']"
giwisso,['giuuisso']
derren,"['deru', 'derra']"
lyuzzila,"['lyuzil', 'lyuzilan']"
wunnia,['wuanda']
nalles,['nalles']
bidiu,['bidiu']
abur,['auur']
wunsam,['wues']
nibu,['nibu']
krûzi,['kruzi']
druos,"['druok', 'drtoder']"
titulo,"['titulo', 'titus']"
haubit,"['haubide', 'hau']"
pilidi,"['pilatus', 'pindr', 'pfilippes']"
skara,['skhameen']
aerdha,"['aerlos', 'aer', 'aerda', 'ageda']"
bichnâan,['bichnaan']
nemnan,"['nemnanne', 'nnan']"
gilouben,"['gilauben', 'gilauban']"
farkiosan,['fanknissa']
dau,"['dauid', 'dau']"
luzzelî,['liuzelu']
minneclîch,"['minneru', 'minemo', 'mineru']"
farmullen,"['faruuu', 'fanueles']"
einîg,"['einiga', 'eininges']"
falcho,['fal']
arteilen,"['ardeilendi', 'ardilet']"
arîdalen,['aridalida']
feraht,"['fenk', 'ferit']"
psalmo,"['psalmom', 'psalmo']"
reie,"['reue', 'rene']"
luginâri,"['luzifere', 'lugina']"
sama,"['sama', 'samaso']"
beran,['berand']
arspringan,['arspringit']
dinstrî,['dinera']
ingân,"['iugundi', 'ilung']"
fleisklîh,"['fleisknissa', 'fzonskl']"
heilag,"['heilak', 'heilages', 'heilag', 'heilagen', 'heilagan']"
geist,"['geist', 'gelstro', 'geistes']"
kunni,"['kundida', 'kunnie', 'kunne']"
siðon,"['sion', 'simeon']"
hêristo,['hohisto']
see,['see']
sigikamf,"['sagida', 'silikwis']"
umverdôn,"['uuerdan', 'uuerden', 'uuerdn', 'uerd']"
ieslîh,['izs']
himilrîh,"['himila', 'himilo', 'himile', 'himiledr']"
angil,"['angila', 'angil']"
elliu,"['elliu', 'elis']"
gislahti,"['giskafti', 'giskaftim', 'gisahi', 'gisaztiu']"
dheonôn,"['deonondiu', 'deonon']"
untar,['uuaar']
fiund,['fiant']
foraspel,"['foraspel', 'forgip']"
bifangolôn,['bifangolode']
sezzen,"['sezzan', 'sezzit']"
zellan,"['zellando', 'zeli']"
kewaltigo,"['kwhedant', 'kwhami', 'kwhalm', 'kwemnkunno']"
mund,"['mundum', 'msundio']"
alde,['ald']
bifora,['bifora']
zieran,['ziid']
wundar,['wuedar']
odho,"['odo', 'od', 'oo']"
bimidan,"['biidan', 'bimuuirdig']"
danewert,"['daniheles', 'darkwhedene']"
kunst,"['kumft', 'kuret']"
iagilîh,"['iaar', 'iaaro', 'iae', 'iaro', 'iar']"
arzellan,['arzelidiu']
offono,['offono']
gisagên,['gisaget']
martyrunga,"['martyru', 'martyrunga']"
ernustlihho,['ernusti']
nicht,"['nim', 'niz']"
gadum,"['gaum', 'gald']"
desse,"['desses', 'desse']"
unwertes,"['uuortes', 'uuenteo']"
sibunzo,['sibunzo']
gitriuwi,['gibreuido']
dienest,"['dineru', 'dine', 'dines']"
ginuog,['giendot']
umberede,"['uuerde', 'uuereda', 'uuerdeso']"
abo,['aboha']
ubarhlaupnissi,"['ubarhlaupnissi', 'uirnlustigoint']"
sunda,['sundono']
eltiron,"['euuik', 'euuigon', 'eldiron']"
bidwingan,['bikwhime']
spel,['spel']
arfullan,"['arfullit', 'arfullant']"
gisalbôn,['gisalbot']
ziero,['zide']
gizelt,"['gizelido', 'gizelide']"
zeihhan,"['zuui', 'zeichane', 'zuei', 'zeichan']"
archennan,['arkennit']
nerren,['nerrendeo']
kiosan,['kwhoman']
sibba,"['sib', 'sibba']"
moweliche,['moysi']
mennisch,['meinit']
standan,['stundom']
sibunzug,['sibuni']
zisamane,['zisamande']
fimfzuc,['fimfzuk']
ziere,['ziide']
tarnen,['tazs']
kumber,['kumfti']
meri,['mera']
zehanzo,['zehanzo']
feorzuc,['feorzuk']
undertân,['uuort']
ziwâre,['ziuuare']
heriscaf,"['hierusalem', 'heriesi', 'heres', 'heriston']"
arwuostan,['aruuostit']
ghelstar,['gelstar']
salbunga,['salbunga']
bilinnan,['bilunna']
redha,"['rd', 'reda', 'ren']"
arslahan,"['arslagan', 'arslahan', 'arslahet', 'arsluogi']"
libbian,"['liudi', 'libegilobot']"
ende,['ende']
gisezzen,"['gisezzit', 'gisizzitder', 'gipuzzit', 'gihezzan', 'gisezitu']"
infancnissa,['idalnissa']
gidîhan,['gidaan']
palwic,['passione']
sigu,['sigu']
inneclîch,['iudeoliudim']
zistrudan,['zistrudida']
bihelan,['bil']
blostar,['blostar']
satzunge,"['samnunge', 'sauuenne']"
haldan,['haldan']
uri,['uurdi']
underskidôn,['udeiskh']
hartnissa,['hartnissu']
arliugan,['arsluog']
ungefrent,"['uuellent', 'uuerdent']"
kitarnan,"['kwhomenan', 'kitr', 'kitriufit', 'kitrnn', 'kitrgndz']"
gioffanôn,['gioffanodom']
kilîh,"['kilaubo', 'kit', 'kild', 'kwid']"
minnan,"['mannan', 'minu']"
gifrummen,"['gifrumida', 'gifremit']"
sâlidha,['salidom']
oder,"['odagan', 'odil']"
skuoh,"['skuo', 'skl', 'skuof']"
selida,['sezzida']
paradis,"['paradisi', 'paradises', 'prdisupu']"
untriwe,['uuari']
furiro,['furiro']
antreita,"['andrem', 'antreitu', 'azareth']"
erdürsten,['erdniss']
giunhreinan,"['giunhreinida', 'giuuerbit']"
dannan,"['danan', 'dannan']"
uns,['uzs']
geil,['geil']
arfurpan,"['aruuorpanan', 'arfuor']"
arqueken,"['arsluok', 'aruuegodi', 'arkweketa']"
blîdhnissa,['bliidnissu']
beitôn,"['beit', 'beitonti', 'beitot']"
alwaltendi,"['aluualdendeo', 'aluualten']"
reht,"['re', 'rget', 'ret']"
gigarawen,"['gigarauuan', 'gigarauuitas']"
ginist,['ginist']
werfan,['wuerfandi']
ubere,"['uuege', 'uue', 'uube']"
ensamt,['euua']
gifuari,"['gihuurfi', 'giuuati']"
ubermuot,"['uuerkum', 'uueizuue', 'uuerkot']"
ubarmuodic,['ubarmuodik']
kleiben,"['kilaubendi', 'kwekken']"
ingant,['iungist']
antfangi,"['antfenk', 'ankwad']"
gimahha,['gisah']
